game_id,year_id,game_dt,homeTeam,awayTeam,ballpark,awayScore,homeScore,totalRuns
ANA201004050,2010,100405,ANA,MIN,ANA01,3,6,9
ANA201004060,2010,100406,ANA,MIN,ANA01,5,3,8
ANA201004070,2010,100407,ANA,MIN,ANA01,4,2,6
ANA201004080,2010,100408,ANA,MIN,ANA01,10,1,11
ANA201004090,2010,100409,ANA,OAK,ANA01,10,4,14
ANA201004100,2010,100410,ANA,OAK,ANA01,3,4,7
ANA201004110,2010,100411,ANA,OAK,ANA01,9,4,13
ANA201004190,2010,100419,ANA,DET,ANA01,0,2,2
ANA201004200,2010,100420,ANA,DET,ANA01,5,6,11
ANA201004210,2010,100421,ANA,DET,ANA01,4,3,7
ANA201004220,2010,100422,ANA,DET,ANA01,5,4,9
ANA201004230,2010,100423,ANA,NYA,ANA01,4,6,10
ANA201004240,2010,100424,ANA,NYA,ANA01,7,1,8
ANA201004250,2010,100425,ANA,NYA,ANA01,4,8,12
ANA201004260,2010,100426,ANA,CLE,ANA01,2,5,7
ANA201004270,2010,100427,ANA,CLE,ANA01,9,2,11
ANA201004280,2010,100428,ANA,CLE,ANA01,3,4,7
ANA201005100,2010,100510,ANA,TBA,ANA01,4,5,9
ANA201005110,2010,100511,ANA,TBA,ANA01,7,2,9
ANA201005120,2010,100512,ANA,TBA,ANA01,4,3,7
ANA201005140,2010,100514,ANA,OAK,ANA01,0,4,4
ANA201005150,2010,100515,ANA,OAK,ANA01,3,12,15
ANA201005160,2010,100516,ANA,OAK,ANA01,0,4,4
ANA201005240,2010,100524,ANA,TOR,ANA01,6,0,6
ANA201005250,2010,100525,ANA,TOR,ANA01,3,8,11
ANA201005260,2010,100526,ANA,TOR,ANA01,5,6,11
ANA201005280,2010,100528,ANA,SEA,ANA01,8,3,11
ANA201005290,2010,100529,ANA,SEA,ANA01,1,5,6
ANA201005300,2010,100530,ANA,SEA,ANA01,7,9,16
ANA201006140,2010,100614,ANA,MIL,ANA01,12,2,14
ANA201006150,2010,100615,ANA,MIL,ANA01,7,1,8
ANA201006160,2010,100616,ANA,MIL,ANA01,1,5,6
ANA201006220,2010,100622,ANA,LAN,ANA01,3,6,9
ANA201006230,2010,100623,ANA,LAN,ANA01,1,2,3
ANA201006240,2010,100624,ANA,LAN,ANA01,10,6,16
ANA201006250,2010,100625,ANA,COL,ANA01,4,3,7
ANA201006260,2010,100626,ANA,COL,ANA01,2,4,6
ANA201006270,2010,100627,ANA,COL,ANA01,3,10,13
ANA201006290,2010,100629,ANA,TEX,ANA01,5,6,11
ANA201006300,2010,100630,ANA,TEX,ANA01,6,4,10
ANA201007010,2010,100701,ANA,TEX,ANA01,1,2,3
ANA201007020,2010,100702,ANA,KCA,ANA01,2,1,3
ANA201007030,2010,100703,ANA,KCA,ANA01,4,2,6
ANA201007040,2010,100704,ANA,KCA,ANA01,0,11,11
ANA201007150,2010,100715,ANA,SEA,ANA01,3,8,11
ANA201007160,2010,100716,ANA,SEA,ANA01,2,3,5
ANA201007170,2010,100717,ANA,SEA,ANA01,6,7,13
ANA201007180,2010,100718,ANA,SEA,ANA01,2,1,3
ANA201007260,2010,100726,ANA,BOS,ANA01,6,3,9
ANA201007270,2010,100727,ANA,BOS,ANA01,4,2,6
ANA201007280,2010,100728,ANA,BOS,ANA01,7,3,10
ANA201007300,2010,100730,ANA,TEX,ANA01,7,9,16
ANA201007310,2010,100731,ANA,TEX,ANA01,2,1,3
ANA201008010,2010,100801,ANA,TEX,ANA01,1,4,5
ANA201008090,2010,100809,ANA,KCA,ANA01,4,6,10
ANA201008100,2010,100810,ANA,KCA,ANA01,1,3,4
ANA201008110,2010,100811,ANA,KCA,ANA01,1,2,3
ANA201008130,2010,100813,ANA,TOR,ANA01,3,0,3
ANA201008140,2010,100814,ANA,TOR,ANA01,2,7,9
ANA201008150,2010,100815,ANA,TOR,ANA01,4,1,5
ANA201008230,2010,100823,ANA,TBA,ANA01,4,3,7
ANA201008240,2010,100824,ANA,TBA,ANA01,10,3,13
ANA201008250,2010,100825,ANA,TBA,ANA01,3,12,15
