game_id,year_id,game_dt,homeTeam,awayTeam,ballpark,awayScore,homeScore,totalRuns
ANA200004030,2000,403,ANA,NYA,ANA01,3,2,5
ANA200004040,2000,404,ANA,NYA,ANA01,5,3,8
ANA200004050,2000,405,ANA,NYA,ANA01,6,12,18
ANA200004070,2000,407,ANA,BOS,ANA01,3,7,10
ANA200004080,2000,408,ANA,BOS,ANA01,5,7,12
ANA200004090,2000,409,ANA,BOS,ANA01,5,2,7
ANA200004100,2000,410,ANA,TOR,ANA01,0,6,6
ANA200004110,2000,411,ANA,TOR,ANA01,4,5,9
ANA200004120,2000,412,ANA,TOR,ANA01,6,2,8
ANA200004240,2000,424,ANA,DET,ANA01,4,10,14
ANA200004250,2000,425,ANA,DET,ANA01,4,2,6
ANA200004260,2000,426,ANA,DET,ANA01,1,6,7
ANA200004270,2000,427,ANA,TBA,ANA01,7,3,10
ANA200004280,2000,428,ANA,TBA,ANA01,11,2,13
ANA200004290,2000,429,ANA,TBA,ANA01,6,7,13
ANA200004300,2000,430,ANA,TBA,ANA01,2,5,7
ANA200005080,2000,508,ANA,OAK,ANA01,8,9,17
ANA200005090,2000,509,ANA,OAK,ANA01,5,2,7
ANA200005100,2000,510,ANA,OAK,ANA01,7,4,11
ANA200005110,2000,511,ANA,TEX,ANA01,2,3,5
ANA200005120,2000,512,ANA,TEX,ANA01,13,11,24
ANA200005130,2000,513,ANA,TEX,ANA01,6,5,11
ANA200005140,2000,514,ANA,TEX,ANA01,6,7,13
ANA200005160,2000,516,ANA,BAL,ANA01,4,3,7
ANA200005170,2000,517,ANA,BAL,ANA01,7,8,15
ANA200005190,2000,519,ANA,KCA,ANA01,4,6,10
ANA200005200,2000,520,ANA,KCA,ANA01,8,9,17
ANA200005210,2000,521,ANA,KCA,ANA01,10,6,16
ANA200006020,2000,602,ANA,LAN,ANA01,5,12,17
ANA200006030,2000,603,ANA,LAN,ANA01,8,3,11
ANA200006040,2000,604,ANA,LAN,ANA01,7,8,15
ANA200006050,2000,605,ANA,SFN,ANA01,5,4,9
ANA200006060,2000,606,ANA,SFN,ANA01,5,6,11
ANA200006070,2000,607,ANA,SFN,ANA01,9,10,19
ANA200006200,2000,620,ANA,KCA,ANA01,8,6,14
ANA200006210,2000,621,ANA,KCA,ANA01,1,3,4
ANA200006220,2000,622,ANA,KCA,ANA01,3,4,7
ANA200006230,2000,623,ANA,MIN,ANA01,3,8,11
ANA200006240,2000,624,ANA,MIN,ANA01,11,5,16
ANA200006250,2000,625,ANA,MIN,ANA01,6,7,13
ANA200006260,2000,626,ANA,MIN,ANA01,10,6,16
ANA200006300,2000,630,ANA,OAK,ANA01,0,7,7
ANA200007010,2000,701,ANA,OAK,ANA01,2,7,9
ANA200007020,2000,702,ANA,OAK,ANA01,10,3,13
ANA200007030,2000,703,ANA,SEA,ANA01,8,6,14
ANA200007040,2000,704,ANA,SEA,ANA01,6,7,13
ANA200007050,2000,705,ANA,SEA,ANA01,6,4,10
ANA200007060,2000,706,ANA,SEA,ANA01,1,5,6
ANA200007070,2000,707,ANA,COL,ANA01,4,12,16
ANA200007080,2000,708,ANA,COL,ANA01,2,6,8
ANA200007090,2000,709,ANA,COL,ANA01,4,10,14
ANA200007190,2000,719,ANA,TEX,ANA01,3,2,5
ANA200007200,2000,720,ANA,TEX,ANA01,1,6,7
ANA200007270,2000,727,ANA,CHA,ANA01,6,5,11
ANA200007280,2000,728,ANA,CHA,ANA01,7,10,17
ANA200007290,2000,729,ANA,CHA,ANA01,5,6,11
ANA200007300,2000,730,ANA,CHA,ANA01,11,7,18
ANA200007310,2000,731,ANA,DET,ANA01,4,5,9
ANA200008010,2000,801,ANA,DET,ANA01,6,3,9
ANA200008020,2000,802,ANA,DET,ANA01,5,3,8
ANA200008070,2000,807,ANA,BOS,ANA01,1,4,5
ANA200008080,2000,808,ANA,BOS,ANA01,1,2,3
ANA200008090,2000,809,ANA,BOS,ANA01,4,2,6
ANA200008110,2000,811,ANA,NYA,ANA01,3,8,11
ANA200008120,2000,812,ANA,NYA,ANA01,6,9,15
ANA200008130,2000,813,ANA,NYA,ANA01,4,1,5
ANA200008250,2000,825,ANA,CLE,ANA01,1,4,5
ANA200008260,2000,826,ANA,CLE,ANA01,9,5,14
ANA200008270,2000,827,ANA,CLE,ANA01,9,10,19
ANA200008280,2000,828,ANA,TOR,ANA01,4,2,6
ANA200008290,2000,829,ANA,TOR,ANA01,4,9,13
ANA200008300,2000,830,ANA,TOR,ANA01,11,2,13
ANA200009080,2000,908,ANA,BAL,ANA01,1,2,3
ANA200009090,2000,909,ANA,BAL,ANA01,10,3,13
ANA200009100,2000,910,ANA,BAL,ANA01,1,2,3
ANA200009110,2000,911,ANA,BAL,ANA01,3,1,4
ANA200009120,2000,912,ANA,TBA,ANA01,2,5,7
ANA200009130,2000,913,ANA,TBA,ANA01,4,8,12
ANA200009290,2000,929,ANA,SEA,ANA01,3,9,12
ANA200009300,2000,930,ANA,SEA,ANA01,21,9,30
ANA200010010,2000,1001,ANA,SEA,ANA01,5,2,7
ANA200104100,2001,10410,ANA,TEX,ANA01,7,5,12
ANA200104110,2001,10411,ANA,TEX,ANA01,2,7,9
ANA200104120,2001,10412,ANA,TEX,ANA01,3,13,16
ANA200104130,2001,10413,ANA,SEA,ANA01,3,4,7
ANA200104140,2001,10414,ANA,SEA,ANA01,2,1,3
ANA200104150,2001,10415,ANA,SEA,ANA01,7,5,12
ANA200104160,2001,10416,ANA,OAK,ANA01,6,3,9
ANA200104170,2001,10417,ANA,OAK,ANA01,5,1,6
