battingTeam,winPercentage,z-score
HOU,0.55,-2.29119296
TOR,0.5714,-1.991276344
FLO,0.6,-1.590453203
BAL,0.6133,-1.404056428
KCA,0.6494,-0.898122323
PHI,0.6579,-0.778996565
BOS,0.6628,-0.710324069
CHN,0.6667,-0.655666368
NYN,0.6667,-0.655666368
SEA,0.6747,-0.543548006
COL,0.6765,-0.518321375
MIL,0.6944,-0.267456542
ANA,0.6947,-0.263252104
CHA,0.7083,-0.07265089
MIN,0.7183,0.067497062
LAN,0.7262,0.178213943
DET,0.7286,0.211849452
SLN,0.7349,0.300142661
PIT,0.7368,0.326770772
TBA,0.747,0.469721682
CLE,0.75,0.511766068
SFN,0.7568,0.607066675
ARI,0.7571,0.611271113
NYA,0.7609,0.664527335
SDN,0.7701,0.79346345
WAS,0.7708,0.803273807
ATL,0.7875,1.037320886
OAK,0.8,1.212505825
CIN,0.809,1.338638981
TEX,0.8235,1.541853511
MIA,0.8537,1.965100324
