teamID,playerID,salary,yearID,POS
ARI,hillaa01,12000000,2015,3B
ARI,pradoma01,11000000,2014,2B
ARI,pradoma01,11000000,2014,3B
ARI,bellhe01,10000000,2013,P
ARI,greinza01,31799030,2016,P
ARI,johnske05,5850000,2011,2B
ARI,hillaa01,11000000,2014,2B
ARI,hillaa01,11000000,2014,3B
ARI,montemi01,10000000,2013,C
ARI,drewst01,7750000,2012,SS
ARI,hillaa01,12000000,2015,2B
ATL,ugglada01,13146942,2013,2B
ATL,jonesch06,14000000,2012,3B
ATL,freemfr01,12359375,2016,1B
ATL,lowede01,15000000,2010,P
ATL,uptonju01,14250000,2014,OF
ATL,lowede01,15000000,2011,P
ATL,cahiltr01,12000000,2015,P
BAL,jonesad01,13333333,2015,OF
BAL,davisch02,21268890,2016,1B
BAL,markani01,12350000,2012,OF
BAL,davisch02,21268890,2016,OF
BAL,millwke01,12000000,2010,P
BAL,markani01,15350000,2013,OF
BAL,markani01,10600000,2011,1B
BAL,markani01,15000000,2014,1B
BAL,markani01,10600000,2011,OF
BAL,markani01,15000000,2014,OF
BOS,gonzaad01,21857142,2012,OF
BOS,beckejo02,17000000,2011,P
BOS,napolmi01,16000000,2014,1B
BOS,lackejo01,18700000,2010,P
BOS,ramirha01,19750000,2015,3B
BOS,lackejo01,15950000,2013,P
BOS,ramirha01,19750000,2015,OF
BOS,priceda01,30000000,2016,P
BOS,gonzaad01,21857142,2012,1B
CHA,peavyja01,16000000,2011,P
CHA,dunnad01,15000000,2014,1B
CHA,peavyja01,17000000,2012,P
CHA,dunnad01,15000000,2014,OF
CHA,dunnad01,15000000,2014,P
CHA,peavyja01,15000000,2010,P
CHA,peavyja01,16157271,2013,P
CHA,danksjo01,15750000,2015,P
CHN,lestejo01,20000000,2015,P
CHN,soriaal01,19000000,2011,OF
CHN,soriaal01,19000000,2012,OF
CHN,jacksed01,11000000,2014,P
CHN,soriaal01,19000000,2010,OF
CHN,soriaal01,19000000,2013,OF
CIN,vottojo01,18910655,2013,1B
CIN,cordefr01,12125000,2011,P
CIN,haranaa01,12500000,2010,P
CIN,phillbr01,12500000,2012,2B
CIN,vottojo01,12000000,2014,1B
CIN,vottojo01,14000000,2015,1B
CIN,vottojo01,20000000,2016,1B
CLE,swishni01,11000000,2013,OF
CLE,lowede01,15000000,2012,P
CLE,swishni01,15000000,2014,1B
CLE,swishni01,15000000,2014,OF
CLE,swishni01,15000000,2015,OF
CLE,santaca01,8450000,2016,1B
CLE,swishni01,11000000,2013,1B
COL,heltoto01,17775000,2010,1B
COL,delarjo01,11000000,2013,P
COL,heltoto01,20275000,2011,1B
COL,tulowtr01,16000000,2014,SS
COL,tulowtr01,20000000,2015,SS
COL,cuddymi01,10500000,2012,1B
COL,cuddymi01,10500000,2012,OF
COL,delarjo01,10500000,2012,P
DET,cabremi01,20000000,2010,1B
DET,cabremi01,20000000,2011,1B
DET,cabremi01,28000000,2016,1B
DET,cabremi01,28000000,2016,3B
DET,cabremi01,22000000,2014,1B
DET,cabremi01,22000000,2014,3B
DET,fieldpr01,23000000,2013,1B
