playerID,teamID,HR,BB,HBP,SO,IP,ERA
aardsda01,NYN,7,19,4,36,39.6667,4.31
abadfe01,WAS,3,10,1,32,37.6667,3.35
aceveal01,BOS,8,22,0,24,37.0000,4.86
adamsmi03,PHI,5,11,1,23,25.0000,3.96
affelje01,SFN,2,17,4,21,33.6667,3.74
alberan01,MIN,6,7,2,25,60.0000,4.05
alberma01,CLE,2,23,1,35,63.0000,3.14
albural01,DET,5,34,2,70,49.0000,4.59
allenco01,CLE,7,26,1,88,70.3333,2.43
alvarhe01,MIA,2,27,7,57,102.6667,3.59
alvarjo02,DET,7,16,2,31,38.6667,5.82
ambrihe01,HOU,8,14,1,27,36.3333,5.7
amesst01,MIA,0,2,0,4,4.0000,4.5
anderbr04,OAK,5,21,0,46,44.6667,6.04
archech01,TBA,15,38,8,101,128.6667,3.22
arrieja01,BAL,2,17,2,23,23.6667,7.23
arrieja01,CHN,7,24,3,37,51.6667,3.66
arroybr01,CIN,32,34,7,124,202.0000,3.79
atchisc01,NYN,4,12,0,28,45.3333,4.37
aumonph01,PHI,0,13,3,19,19.3333,4.19
avilalu01,ATL,1,22,4,38,65.0000,1.52
axelrdy01,CHA,24,43,4,73,128.3333,5.68
axforjo01,MIL,10,23,1,54,54.6667,4.45
axforjo01,SLN,0,3,1,11,10.3333,1.74
ayalalu01,BAL,1,0,0,2,2.0000,9
ayalalu01,ATL,1,13,0,20,31.0000,2.9
badenbu01,MIL,6,12,0,42,62.3333,3.47
bailean01,BOS,7,12,0,39,28.6667,3.77
baileho02,CIN,20,54,10,199,209.0000,3.49
bakersc02,CHN,3,4,0,6,15.0000,3.6
balfogr01,OAK,7,27,0,72,62.6667,2.59
bardda01,BOS,0,2,0,1,1.0000,9
barnesc01,CLE,3,3,2,10,8.6667,7.27
bassan01,SDN,4,20,0,31,42.0000,5.36
bastaan01,PHI,2,21,1,47,42.6667,2.32
bauertr01,CLE,3,16,1,11,17.0000,5.29
beachbr01,ATL,5,4,0,23,30.0000,4.5
