yearID,teamID,W,L,R,RA
2010,ARI,65,97,713,836
2010,ATL,91,71,738,629
2010,BAL,66,96,613,785
2010,BOS,89,73,818,744
2010,CHA,88,74,752,704
2010,CHN,75,87,685,767
2010,CIN,91,71,790,685
2010,CLE,69,93,646,752
2010,COL,83,79,770,717
2010,DET,81,81,751,743
2010,FLO,80,82,719,717
2010,HOU,76,86,611,729
2010,KCA,67,95,676,845
2010,LAA,80,82,681,702
2010,LAN,80,82,667,692
2010,MIL,77,85,750,804
2010,MIN,94,68,781,671
2010,NYA,95,67,859,693
2010,NYN,79,83,656,652
2010,OAK,81,81,663,626
2010,PHI,97,65,772,640
2010,PIT,57,105,587,866
2010,SDN,90,72,665,581
2010,SEA,61,101,513,698
2010,SFN,92,70,697,583
2010,SLN,86,76,736,641
2010,TBA,96,66,802,649
2010,TEX,90,72,787,687
2010,TOR,85,77,755,728
2010,WAS,69,93,655,742
2011,ARI,94,68,731,662
2011,ATL,89,73,641,605
2011,BAL,69,93,708,860
2011,BOS,90,72,875,737
2011,CHA,79,83,654,706
2011,CHN,71,91,654,756
2011,CIN,79,83,735,720
2011,CLE,80,82,704,760
2011,COL,73,89,735,774
2011,DET,95,67,787,711
2011,FLO,72,90,625,702
2011,HOU,56,106,615,796
2011,KCA,71,91,730,762
2011,LAA,86,76,667,633
2011,LAN,82,79,644,612
2011,MIL,96,66,721,638
2011,MIN,63,99,619,804
2011,NYA,97,65,867,657
2011,NYN,77,85,718,742
2011,OAK,74,88,645,679
2011,PHI,102,60,713,529
2011,PIT,72,90,610,712
2011,SDN,71,91,593,611
2011,SEA,67,95,556,675
2011,SFN,86,76,570,578
2011,SLN,90,72,762,692
2011,TBA,91,71,707,614
2011,TEX,96,66,855,677
2011,TOR,81,81,743,761
2011,WAS,80,81,624,643
2012,ARI,81,81,734,688
2012,ATL,94,68,700,600
2012,BAL,93,69,712,705
2012,BOS,69,93,734,806
2012,CHA,85,77,748,676
2012,CHN,61,101,613,759
2012,CIN,97,65,669,588
2012,CLE,68,94,667,845
2012,COL,64,98,758,890
2012,DET,88,74,726,670
2012,HOU,55,107,583,794
2012,KCA,72,90,676,746
2012,LAA,89,73,767,699
2012,LAN,86,76,637,597
2012,MIA,69,93,609,724
2012,MIL,83,79,776,733
2012,MIN,66,96,701,832
2012,NYA,95,67,804,668
2012,NYN,74,88,650,709
2012,OAK,94,68,713,614
2012,PHI,81,81,684,680
2012,PIT,79,83,651,674
2012,SDN,76,86,651,710
2012,SEA,75,87,619,651
2012,SFN,94,68,718,649
2012,SLN,88,74,765,648
2012,TBA,90,72,697,577
2012,TEX,93,69,808,707
2012,TOR,73,89,716,784
2012,WAS,98,64,731,594
2013,ARI,81,81,685,695
2013,ATL,96,66,688,548
2013,BAL,85,77,745,709
2013,BOS,97,65,853,656
2013,CHA,63,99,598,723
2013,CHN,66,96,602,689
2013,CIN,90,72,698,589
2013,CLE,92,70,745,662
2013,COL,74,88,706,760
2013,DET,93,69,796,624
2013,HOU,51,111,610,848
2013,KCA,86,76,648,601
2013,LAA,78,84,733,737
2013,LAN,92,70,649,582
2013,MIA,62,100,513,646
2013,MIL,74,88,640,687
2013,MIN,66,96,614,788
2013,NYA,85,77,650,671
2013,NYN,74,88,619,684
2013,OAK,96,66,767,625
2013,PHI,73,89,610,749
2013,PIT,94,68,634,577
2013,SDN,76,86,618,700
2013,SEA,71,91,624,754
2013,SFN,76,86,629,691
2013,SLN,97,65,783,596
2013,TBA,92,71,700,646
2013,TEX,91,72,730,636
2013,TOR,74,88,712,756
2013,WAS,86,76,656,626
2014,ARI,64,98,615,742
2014,ATL,79,83,573,597
2014,BAL,96,66,705,593
2014,BOS,71,91,634,715
2014,CHA,73,89,660,758
2014,CHN,73,89,614,707
2014,CIN,76,86,595,612
2014,CLE,85,77,669,653
2014,COL,66,96,755,818
2014,DET,90,72,757,705
2014,HOU,70,92,629,723
2014,KCA,89,73,651,624
2014,LAA,98,64,773,630
2014,LAN,94,68,718,617
2014,MIA,77,85,645,674
2014,MIL,82,80,650,657
2014,MIN,70,92,715,777
2014,NYA,84,78,633,664
2014,NYN,79,83,629,618
2014,OAK,88,74,729,572
2014,PHI,73,89,619,687
2014,PIT,88,74,682,631
2014,SDN,77,85,535,577
2014,SEA,87,75,634,554
2014,SFN,88,74,665,614
2014,SLN,90,72,619,603
2014,TBA,77,85,612,625
2014,TEX,67,95,637,773
2014,TOR,83,79,723,686
2014,WAS,96,66,686,555
2015,ARI,79,83,720,713
2015,ATL,67,95,573,760
2015,BAL,81,81,713,693
2015,BOS,78,84,748,753
2015,CHA,76,86,622,701
2015,CHN,97,65,689,608
2015,CIN,64,98,640,754
2015,CLE,81,80,669,640
2015,COL,68,94,737,844
2015,DET,74,87,689,803
2015,HOU,86,76,729,618
2015,KCA,95,67,724,641
2015,LAA,85,77,661,675
2015,LAN,92,70,667,595
2015,MIA,71,91,613,678
2015,MIL,68,94,655,737
2015,MIN,83,79,696,700
2015,NYA,87,75,764,698
2015,NYN,90,72,683,613
2015,OAK,68,94,694,729
2015,PHI,63,99,626,809
2015,PIT,98,64,697,596
2015,SDN,74,88,650,731
2015,SEA,76,86,656,726
2015,SFN,84,78,696,627
2015,SLN,100,62,647,525
